doid_id	DOID:0050156	DOID:0050425	DOID:0050741	DOID:1024	DOID:10286	DOID:1040	DOID:10608	DOID:10652	DOID:1067	DOID:10763	DOID:10871	DOID:1094	DOID:10941	DOID:1107	DOID:11476	DOID:11612	DOID:11782	DOID:11829	DOID:11949	DOID:12236	DOID:12306	DOID:12361	DOID:12365	DOID:13241	DOID:13378	DOID:13922	DOID:14221	DOID:14227	DOID:14268	DOID:14330	DOID:1459	DOID:1595	DOID:1686	DOID:1749	DOID:1826	DOID:1909	DOID:1936	DOID:2377	DOID:2468	DOID:2513	DOID:2841	DOID:289	DOID:2986	DOID:3083	DOID:3310	DOID:3312	DOID:332	DOID:3393	DOID:3459	DOID:3620	DOID:3905	DOID:3910	DOID:3963	DOID:4001	DOID:4007	DOID:418	DOID:4450	DOID:4481	DOID:4905	DOID:5082	DOID:5408	DOID:5419	DOID:5517	DOID:5844	DOID:585	DOID:6364	DOID:6713	DOID:7147	DOID:7148	DOID:769	DOID:7693	DOID:784	DOID:8398	DOID:8567	DOID:8577	DOID:8778	DOID:8893	DOID:8986	DOID:90	DOID:9008	DOID:9074	DOID:9206	DOID:9296	DOID:9352	DOID:9538	DOID:9744	DOID:9835	DOID:986	DOID:9952	DOID:9970
DOID:10871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039281	0.0	0.0	0.0	0.0	0.0	0.0	0.162128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013564	0.0	0.0	0.036863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018053	0.0	0.0	0.0	0.0	0.0	0.0
DOID:1094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.069658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.953016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38896	0.0	0.021733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOID:10941	0.0	0.0	0.0	0.0	0.012701	0.0	0.0	0.0	0.052925	0.0	0.0	0.064491	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061464	0.070422	0.0	0.0	0.0	0.115232	0.0	0.0	0.04384	0.0	0.0	0.0	0.0	0.0	0.025098	0.0	0.068582	0.0	0.05901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007681	0.0	0.046855	0.0	0.0	0.03406	0.0	0.0	0.0	0.074996	0.0	0.0	0.0	0.020221	0.014121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOID:1107	0.0	0.0	0.0	0.0	0.0	0.0	0.028795	0.033051	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.482348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008581	0.159415	0.0	0.0	0.0	0.0	0.0	0.01005	0.0	0.0	0.0	0.0	0.0	0.0	0.009323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012014	0.0	0.020263	0.0	0.0	0.0	0.0
DOID:11476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOID:11612	0.0	0.0	0.0	0.0	0.014149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.031281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010465	0.03862	0.0	0.0	0.0	0.0	0.0	0.045364	0.031915	0.0	0.021385	0.0	0.065827	0.0	0.0
DOID:11782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOID:11829	0.0	0.0	0.0	0.0	0.016036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.027689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOID:11949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DOID:12236	0.0	0.0	0.0	0.0	0.0	0.0	0.03277	0.0	0.0	0.0	0.039281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.038015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096533	0.0	0.0	0.102938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082788	0.0	0.082031	0.0	0.0	0.0	0.0	0.0	0.052019	0.0	0.0	0.0	0.0	0.062983	0.0	0.0	0.0	0.0	0.0	0.079513	0.050591	0.0	0.0	0.0	0.0	0.078319	0.0	0.0	0.0	0.0	0.040301	0.0	0.0	0.0	0.0
